species_name,species_name_fishbase,genus_name,genus_name_fishbase,origin,invasive,IUCN_Global,IUCN_Med,Year_Global,Year_Med,Length_cm,Length_max,Depth_min_m,Depth_max_m,Continental_shelf,Continental_slope,Open_ocean,Habitat._soft,Habitat_rocky,Habitat_posidonia,Migration,Reproduction,Sex_shift,Semelparity,Larvae,Behav,Diet_type,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,AirBreathing,AnaCat,Vulnerability
Campogramma glaycos,Campogramma glaycos,Campogramma,Campogramma,U,0,LC,DD,2015,2011,67.5,75,15,30,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,46.64
Capros aper,Capros aper,Capros,Capros,U,0,LC,LC,2015,2011,11.5,16,100,400,0,1,0,1,1,0,NA,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,short and / or deep,0,0,1,demersal,WaterAssumed,NA,20
Caranx crysos,Caranx crysos,Caranx,Caranx,U,0,LC,LC,2010,2011,45,70,1,100,1,0,0,0,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,NA,34.26
Caranx hippos,Caranx hippos,Caranx,Caranx,U,0,LC,DD,2019,2011,60,100,1,350,1,1,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,fusiform / normal,0,1,1,pelagic-neritic,WaterAssumed,oceanodromous,41.43
Caranx rhonchus,Caranx rhonchus,Caranx,Caranx,U,0,LC,LC,2015,2011,52.5,60,30,50,0,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,NA,36.21
Carapus acus,Carapus acus,Carapus,Carapus,U,0,LC,DD,2015,2011,17.5,20,20,50,1,0,0,1,1,1,no,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,non-migratory,10.8
Carcharhinus altimus,Carcharhinus altimus,Carcharhinus,Carcharhinus,A,1,NT,DD,2020,2016,275,300,90,300,1,0,1,0,0,0,Oceanodromous,Viviparous,no,no,no,Solitary,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,90
Carcharhinus brachyurus,Carcharhinus brachyurus,Carcharhinus,Carcharhinus,A,0,VU,DD,2020,2016,250,325,1,360,0,0,1,0,0,0,Oceanodromous,Viviparous,no,no,no,Solitary,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,oceanodromous,86.7
Carcharhinus brevipinna,Carcharhinus brevipinna,Carcharhinus,Carcharhinus,U,0,VU,NA,2020,NA,200,325,1,75,0,0,1,0,0,0,Oceanodromous,Viviparous,no,no,no,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,oceanodromous,62.23
Carcharhinus falciformis,Carcharhinus falciformis,Carcharhinus,Carcharhinus,A,1,VU,NA,2021,NA,300,350,1,50,0,0,1,0,0,0,Oceanodromous,Viviparous,no,no,no,Solitary,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,oceanodromous,82.14
Carcharhinus limbatus,Carcharhinus limbatus,Carcharhinus,Carcharhinus,U,0,VU,DD,2021,2016,320,340,1,50,0,0,1,0,0,0,Amphidromous,Viviparous,no,no,no,Gregarious,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,amphidromous,55.45
Carcharhinus melanopterus,Carcharhinus melanopterus,Carcharhinus,Carcharhinus,U,0,VU,NA,2020,NA,165,200,1,30,0,0,0,1,1,0,Amphidromous,Viviparous,no,no,no,Mix,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,amphidromous,56.83
Carcharhinus obscurus,Carcharhinus obscurus,Carcharhinus,Carcharhinus,U,0,EN,DD,2019,2016,350,420,1,400,1,1,1,0,0,0,Oceanodromous,Viviparous,no,no,no,Solitary,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,oceanodromous,87.65
Carcharhinus plumbeus,Carcharhinus plumbeus,Carcharhinus,Carcharhinus,U,0,EN,EN,2021,2016,250,300,1,100,1,0,0,1,0,0,Oceanodromous,Viviparous,no,no,no,Gregarious,Carnivorous,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,oceanodromous,86.8
Carcharias taurus,Carcharias taurus,Carcharias,Carcharias,U,0,CR,CR,2025,2016,300,320,1,70,0,0,0,1,0,0,Oceanodromous,Ovoviviparous,no,no,no,Mix,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,oceanodromous,58.1
Carcharodon carcharias,Carcharodon carcharias,Carcharodon,Carcharodon,U,0,VU,CR,2022,2016,640,720,1,100,0,0,1,0,0,0,Oceanodromous,Ovoviviparous,no,no,no,Mix,Carnivorous,fusiform / normal,0,1,1,pelagic-oceanic,WaterAssumed,oceanodromous,85.78
Cataetyx alleni,Cataetyx alleni,Cataetyx,Cataetyx,U,0,LC,LC,2015,2011,4,12,480,1000,1,0,0,1,0,0,no,Viviparous,no,no,no,NA,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,14.44
Cataetyx aticeps,Cataetyx laticeps,Cataetyx,Cataetyx,U,0,LC,LC,2015,2011,60,65,500,2400,1,1,0,1,0,0,no,Viviparous,no,no,no,NA,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,46
Centracanthus cirrus,Centracanthus cirrus,Centracanthus,Centracanthus,U,0,LC,LC,2014,2011,15,22,10,200,0,1,1,0,1,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,24
Centrolabrus exoletus,Centrolabrus exoletus,Centrolabrus,Centrolabrus,A,1,LC,NA,2015,NA,12,17,2,15,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,20
Centrolophus niger,Centrolophus niger,Centrolophus,Centrolophus,U,0,LC,LC,2015,2011,120,150,5,800,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,bathypelagic,WaterAssumed,NA,90
Centrophorus granulosus,Centrophorus granulosus,Centrophorus,Centrophorus,U,0,EN,CR,2024,2016,100,150,60,1200,1,1,0,1,0,0,no,Ovoviviparous,no,no,no,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,70
Centrophorus uyato,Centrophorus uyato,Centrophorus,Centrophorus,U,0,EN,CR,2024,2016,90,100,50,1400,1,1,0,0,0,0,no,Ovoviviparous,no,no,no,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,66
Centroscymnus coelolepis,Centroscymnus coelolepis,Centroscymnus,Centroscymnus,U,0,NT,LC,2021,2016,92,120,150,3700,0,1,1,1,0,0,no,Ovoviviparous,no,no,no,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,72.6
Cephalopholis argus,Cephalopholis argus,Cephalopholis,Cephalopholis,RS,1,LC,NA,2018,NA,40,60,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,44
Cephalopholis hemistiktos,Cephalopholis hemistiktos,Cephalopholis,Cephalopholis,RS,1,LC,NA,2018,NA,23,35,4,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,57.85
Cephalopholis nigri,Cephalopholis nigri,Cephalopholis,Cephalopholis,A,1,LC,NA,2018,NA,20,30.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,1,1,demersal,WaterAssumed,NA,20.5
Cephalopholis taeniops,Cephalopholis taeniops,Cephalopholis,Cephalopholis,A,1,LC,NA,2018,NA,40,70,20,300,0,0,0,1,1,0,no,Oviparous,Protogynous,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,56.4
Cepola macrophthalma,Cepola macrophthalma,Cepola,Cepola,U,0,LC,LC,2015,2011,45,70,40,100,1,1,0,1,0,0,NA,Oviparous,no,no,NA,Mix,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,54.56
Ceratoscopelus maderensis,Ceratoscopelus maderensis,Ceratoscopelus,Ceratoscopelus,U,0,LC,LC,2015,2011,5,8,50,1080,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10
Cetorhinus maximus,Cetorhinus maximus,Cetorhinus,Cetorhinus,U,0,EN,EN,2021,2016,280,320,1,70,0,0,0,1,1,0,Oceanodromous,Ovoviviparous,no,no,no,Gregarious,Carnivorous,elongated,0,0,1,pelagic-oceanic,WaterAssumed,oceanodromous,86.06
Chaetodipterus faber,Chaetodipterus faber,Chaetodipterus,Chaetodipterus,A,1,LC,NA,2015,NA,50.40000153,91,3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,1,1,reef-associated,WaterAssumed,oceanodromous,51.99
Chaetodon auriga,Chaetodon auriga,Chaetodon,Chaetodon,RS,1,LC,NA,2010,NA,NA,25,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,non-migratory,23.31
Chaetodon austriacus,Chaetodon austriacus,Chaetodon,Chaetodon,RS,1,LC,NA,2010,NA,NA,13,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,non-migratory,15.04
Chaetodon hoefleri,Chaetodon hoefleri,Chaetodon,Chaetodon,U,0,LC,NA,2010,NA,17.5,27,10,100,0,0,0,0,1,0,NA,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,17
Chaetodon larvatus,Chaetodon larvatus,Chaetodon,Chaetodon,RS,1,LC,NA,2010,NA,12,12,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,13.29
Champsodon nudivittis,Champsodon nudivittis,Champsodon,Champsodon,RS,1,NA,NA,NA,NA,NA,12.69999981,0,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,pelagic-oceanic,WaterAssumed,NA,10
Chanos chanos,Chanos chanos,Chanos,Chanos,RS,1,LC,NA,2019,NA,100,180,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,1,1,1,benthopelagic,WaterAssumed,amphidromous,90
Chauliodus sloani,Chauliodus sloani,Chauliodus,Chauliodus,U,0,LC,LC,2015,2011,22,35,200,4700,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,NA,32.7
Chaunax pictus,Chaunax pictus,Chaunax,Chaunax,A,0,LC,DD,2015,2011,29,40,200,978,1,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,short and / or deep,0,0,1,bathydemersal,WaterAssumed,NA,30
Cheilinus lunulatus,Cheilinus lunulatus,Cheilinus,Cheilinus,RS,1,LC,NA,2010,NA,35,50,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,40
Cheilodipterus novemstriatus,Cheilodipterus novemstriatus,Cheilodipterus,Cheilodipterus,RS,1,NA,NA,NA,NA,NA,8,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Cheilopogon furcatus,Cheilopogon furcatus,Cheilopogon,Cheilopogon,A,1,LC,NA,2015,NA,25,35,1,20,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,pelagic-oceanic,WaterAssumed,oceanodromous,25
Cheilopogon heterurus,Cheilopogon heterurus,Cheilopogon,Cheilopogon,U,0,LC,DD,2015,2011,32.5,40,1,5,0,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,0,1,pelagic-neritic,WaterAssumed,oceanodromous,30
Chelon labrosus,Chelon labrosus,Chelon,Chelon,U,0,NT,LC,2024,2011,50,90,1,5,0,0,0,1,1,0,Catadromous,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,elongated,1,1,1,demersal,WaterAssumed,catadromous,63.47
Chilomycterus reticulatus,Chilomycterus reticulatus,Chilomycterus,Chilomycterus,A,1,LC,NA,2015,NA,30,69.69999695,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,19.78
Chilomycterus spilostylus,Cyclichthys spilostylus,Chilomycterus,Cyclichthys,RS,1,NA,NA,NA,NA,28,34,2,90,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,24
Chilomycterus spinosus,Chilomycterus spinosus,Chilomycterus,Chilomycterus,A,1,LC,NA,2015,NA,NA,28,70,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,1,1,demersal,WaterAssumed,NA,18
Chimaera monstrosa,Chimaera monstrosa,Chimaera,Chimaera,U,0,VU,NT,2020,2016,80,100,100,500,0,1,0,0,0,0,Oceanodromous,Oviparous,no,no,no,Mix,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,oceanodromous,68.13
Chlopsis bicolor,Chlopsis bicolor,Chlopsis,Chlopsis,U,0,LC,LC,2015,2011,36,42,20,350,1,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,32
Chlorophthalmus agassizi,Chlorophthalmus agassizi,Chlorophthalmus,Chlorophthalmus,U,0,LC,LC,2015,2011,17.5,20,50,1000,0,1,0,1,0,0,no,Oviparous,Hermaphrodite,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,1,1,bathydemersal,WaterAssumed,NA,30
Chloroscombrus chrysurus,Chloroscombrus chrysurus,Chloroscombrus,Chloroscombrus,A,1,LC,NA,2015,NA,25,65,0,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,1,1,pelagic-neritic,WaterAssumed, ,29.1
Chlorurus rhakoura,Chlorurus rhakoura,Chlorurus,Chlorurus,RS,1,LC,NA,2012,NA,NA,44.20000076,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,41.57
Chromis chromis,Chromis chromis,Chromis,Chromis,U,0,LC,LC,2015,2011,9,15,5,15,0,0,0,0,1,1,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,35.46
Chromogobius quadrivittatus,Chromogobius quadrivittatus,Chromogobius,Chromogobius,E,0,LC,NA,2025,NA,5.5,6.6,1,5,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Chromogobius zebratus,Chromogobius zebratus,Chromogobius,Chromogobius,E,0,LC,LC,2025,2014,5,6,1,5,0,0,0,0,1,0,no,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Chrysiptera cyanea,Chrysiptera cyanea,Chrysiptera,Chrysiptera,O,1,LC,NA,2022,NA,NA,8.5,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,10
Chrysiptera hemicyanea,Chrysiptera hemicyanea,Chrysiptera,Chrysiptera,O,1,VU,NA,2022,NA,NA,7,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,10
Citharus linguatula,Citharus linguatula,Citharus,Citharus,U,0,LC,LC,2015,2011,27.5,30,20,40,1,1,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,37.19
Clinitrachus argentatus,Clinitrachus argentatus,Clinitrachus,Clinitrachus,U,0,LC,LC,2026,2011,7.5,10,0.5,1,0,0,0,0,1,1,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Conger conger,Conger conger,Conger,Conger,U,0,LC,LC,2015,2011,175,300,5,100,1,1,0,1,1,0,Oceanodromous,Oviparous,no,yes,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,oceanodromous,85.83
Corcyrogobius liechtensteini,Corcyrogobius liechtensteini,Corcyrogobius,Corcyrogobius,E,0,LC,LC,2025,2025,2.7,3,5,20,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Coris julis,Coris julis,Coris,Coris,U,0,LC,LC,2010,2011,22.5,28,1,60,0,0,0,0,1,1,NA,Oviparous,Protogynous,no,Planktotrophic,Mix,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,38.53
Coryphaena equiselis,Coryphaena equiselis,Coryphaena,Coryphaena,U,0,LC,DD,2011,2011,50,127,1,100,0,0,1,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,pelagic-oceanic,WaterAssumed,oceanodromous,87.42
Coryphaena hippurus,Coryphaena hippurus,Coryphaena,Coryphaena,U,0,LC,LC,2011,2011,100,200,1,100,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,1,1,pelagic-neritic,WaterAssumed,oceanodromous,40.65
Coryphaenoides guentheri,Coryphaenoides guentheri,Coryphaenoides,Coryphaenoides,U,0,LC,LC,2015,2011,NA,48,1200,2600,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,non-migratory,40
Coryphoblennius galerita,Coryphoblennius galerita,Coryphoblennius,Coryphoblennius,U,0,LC,LC,2026,2011,8.5,10,0.5,1,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,Facultative,NA,10
Crenidens crenidens,Crenidens crenidens,Crenidens,Crenidens,RS,1,LC,NA,2014,NA,20,25,1,10,0,0,0,1,1,1,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,short and / or deep,0,0,1,demersal,WaterAssumed,NA,20
Crenimugil seheli,Moolgarda seheli,Crenimugil,Moolgarda,RS,1,LC,NA,2020,NA,40,60,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,1,1,1,reef-associated,WaterAssumed,catadromous,39.5
Cryptocentrus caeruleopunctatus,Cryptocentrus caeruleopunctatus,Cryptocentrus,Cryptocentrus,RS,1,LC,NA,2019,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,reef-associated,WaterAssumed,NA,10
Cryptocentrus steinhardti,Cryptocentrus steinhardti,Cryptocentrus,Cryptocentrus,RS,1,DD,NA,2024,NA,NA,8.18999958,60,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,demersal,NA,NA,10
Crystallogobius linearis,Crystallogobius linearis,Crystallogobius,Crystallogobius,U,0,LC,LC,2025,2011,4.3,4.7,1,400,1,0,0,1,0,0,no,Oviparous,no,yes,Planktotrophic,Gregarious,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,non-migratory,13.92
Ctenogobius boleosoma,Ctenogobius boleosoma,Ctenogobius,Ctenogobius,A,1,LC,NA,2019,NA,4,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,1,1,1,reef-associated,FacultativeGenus,amphidromous,10
Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus,Ctenolabrus,U,0,LC,LC,2010,2011,14,18,5,20,0,0,0,0,1,1,NA,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,32.5
Cubiceps capensis,Cubiceps capensis,Cubiceps,Cubiceps,U,0,LC,DD,2015,2011,30,100,1,3000,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,pelagic-oceanic,WaterAssumed,oceanodromous,60.6
Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus,Cyclopterus,A,1,NA,NA,NA,NA,25,60,50,150,0,1,1,0,1,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,short and / or deep,0,0,1,benthopelagic,WaterAssumed,oceanodromous,46.79
Cyclothone braueri,Cyclothone braueri,Cyclothone,Cyclothone,U,0,LC,LC,2015,2011,2,3.8,250,900,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,NA,10
Cyclothone pygmaea,Cyclothone pygmaea,Cyclothone,Cyclothone,E,0,LC,LC,2014,2014,2,3,50,1000,1,1,0,NA,NA,NA,Amphidromous,Oviparous,no,yes,NA,NA,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,NA,10
Cynoglossus sinusarabici,Cynoglossus sinusarabici,Cynoglossus,Cynoglossus,RS,1,LC,NA,2020,NA,12,15,5,15,1,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Cynoponticus ferox,Cynoponticus ferox,Cynoponticus,Cynoponticus,U,0,LC,DD,2015,2011,55,200,10,100,1,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,90
Dactylopterus volitans,Dactylopterus volitans,Dactylopterus,Dactylopterus,U,0,LC,LC,2015,2011,37.5,55,15,50,1,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,NA,36.51
Dalatias licha,Dalatias licha,Dalatias,Dalatias,U,0,VU,VU,2018,2016,150,180,300,700,1,1,0,0,1,0,no,Ovoviviparous,no,no,no,Mix,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,65.06
Dalophis imberbis,Dalophis imberbis,Dalophis,Dalophis,U,0,LC,LC,2022,2011,110,150,20,80,0,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,90
Dasyatis centroura,Bathytoshia centroura,Dasyatis,Bathytoshia,U,0,VU,NA,2020,NA,125,220,5,50,1,0,0,1,0,0,Oceanodromous,Ovoviviparous,no,no,no,Gregarious,Carnivorous,other,0,1,1,demersal,WaterAssumed,NA,90
Dasyatis tortonesei,Dasyatis tortonesei,Dasyatis,Dasyatis,E,0,DD,NA,2021,NA,65,80,5,200,1,0,0,1,0,0,Oceanodromous,Ovoviviparous,no,no,no,Gregarious,Carnivorous,other,0,0,1,demersal,WaterAssumed,NA,78.45
Dasyatis violacea,Pteroplatytrygon violacea,Dasyatis,Pteroplatytrygon,U,0,LC,LC,2019,2016,75,90,1,100,1,0,0,0,0,0,Oceanodromous,Ovoviviparous,no,no,no,Gregarious,Carnivorous,other,0,0,1,pelagic-oceanic,WaterAssumed,NA,62.71
Decapturus russelli,Decapterus russelli,Decapturus,Decapterus,RS,1,LC,NA,2010,NA,12,40,1,100,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,24.16
Deltentosteus collonianus,Deltentosteus collonianus,Deltentosteus,Deltentosteus,U,0,LC,LC,2025,2011,6.5,7,5,120,0,0,0,1,0,1,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Deltentosteus quadrimaculatus,Deltentosteus quadrimaculatus,Deltentosteus,Deltentosteus,U,0,LC,LC,2025,2011,7.5,9,15,50,1,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,non-migratory,23.15
Dentex canariensis,Dentex canariensis,Dentex,Dentex,A,1,LC,NA,2014,NA,32.5,100,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,60.05
Dentex dentex,Dentex dentex,Dentex,Dentex,U,0,VU,VU,2014,2011,60,100,15,50,1,1,0,0,1,0,Oceanodromous,Oviparous,no,no,Leicitotrophic,Mix,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,66.3
Dentex gibbosus,Dentex gibbosus,Dentex,Dentex,U,0,LC,DD,2014,2011,67.5,100,40,130,1,1,0,0,1,0,NA,Oviparous,Protandrous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,59.52
Dentex macrophthalmus,Dentex macrophthalmus,Dentex,Dentex,U,0,LC,DD,2014,2011,47.5,65,50,150,1,0,0,1,1,0,Oceanodromous,Oviparous,NA,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,oceanodromous,50.85
Dentex maroccanus,Dentex maroccanus,Dentex,Dentex,U,0,LC,DD,2014,2011,32.5,45,50,100,0,0,0,0,1,0,Oceanodromous,Oviparous,NA,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,52.48
Diaphus holti,Diaphus holti,Diaphus,Diaphus,U,0,LC,LC,2010,2011,4.5,7,40,770,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10
Diaphus metopoclampus,Diaphus metopoclampus,Diaphus,Diaphus,U,0,LC,LC,2015,2011,5,8,90,1080,0,0,1,0,0,0,no,NA,no,no,NA,Solitary,Carnivorous,fusiform / normal,0,0,1,bathypelagic,WaterAssumed,non-migratory,10
Diaphus rafinesquii,Diaphus rafinesquii,Diaphus,Diaphus,U,0,LC,LC,2010,2011,5,9,40,1200,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10
Dicentrarchus labrax,Dicentrarchus labrax,Dicentrarchus,Dicentrarchus,U,0,NT,NT,2024,2011,80,110,1,30,0,0,0,1,1,0,Oceanodromous,Oviparous,no,no,NA,Mix,Carnivorous,fusiform / normal,1,1,1,demersal,WaterAssumed,oceanodromous,66.07
